,title,abstract
0,Stalked by the Fear That Dementia Is Stalking You,"Testing for Alzheimer’s disease and other forms of dementia is hardly foolproof, and could even backfire."
1,A Possible Strategy for Fending Off Surprise Medical Bills,"Writing in payment limits when signing hospital forms might provide some leverage over disputes that arise from surprise medical bills, some proponents suggest."
2,What Does Our Body Temperature Say About Our Health?,Humans seem to have cooled over the past 150 years. What does that mean for us now?
3,Weekly Health Quiz: The Rising Toll of Coronavirus,Test your knowledge of this week’s health news.
4,Coronavirus May Add Billions to the Nation’s Health Care Bill,"Insurance premiums could spike as much as 40 percent next year, a new analysis warns, as employers and insurers confront the projected tens of billions of dollars in additional costs of treating coronavirus patients."
5,How to Get Health Insurance if You’re Worried About Coronavirus or Have Lost Your Job,There are more options for getting coverage than in past economic crises.
6,Young Adults Come to Grips With Coronavirus Health Risks,"It can be a serious disease for younger people, and many millennials have chronic physical and mental health conditions."
7,"Weekly Health Quiz: Coronavirus, Aspirin and Immunity",Test your knowledge of this week’s health news.
8,C.D.C. Weighs Advising Everyone to Wear a Mask,Widespread use of nonmedical masks could reduce community transmission. But recommending their broad use could also cause a run on the kind of masks that health care workers desperately need.
9,The V.A. Prepares to Back Up a Health Care System Threatened by Coronavirus,The sprawling Department of Veterans Affairs is legally designated as the nation’s backup health system and could prove vital in the pandemic.
10,Trump Says a Quarantine ‘Will Not Be Necessary’,"At least 17 states reported tallies of at least 1,000 infections. Illinois reported the first known U.S. death of an infant with the virus."
11,The World Pushes Back Against E-Cigarettes and Juul,"Facing ire at home, the e-cigarette giant counted on international expansion to offset losses in the U.S., but the regulatory response abroad has been even worse."
12,The Lost Month: How a Failure to Test Blinded the U.S. to Covid-19,"Aggressive screening might have helped contain the coronavirus in the United States. But technical flaws, regulatory hurdles and lapses in leadership let it spread undetected for weeks."
13,D.I.Y. Coronavirus Solutions Are Gaining Steam,"From Ireland to Seattle, makers and engineers are creating open-source versions of much-needed medical equipment."
14,The Coronavirus Becomes an Excuse to Restrict Abortions,Texas and Ohio say the procedures are nonessential and must yield to the pandemic.
15,‘Women Will Not Be Forced to Be Alone When They Are Giving Birth’,"In response to some private hospitals’ decision to bar partners, New York will order all hospitals to allow partners in delivery rooms, despite the coronavirus risk."
16,The Experience of Getting Tested for Coronavirus,Here are some of the experiences and bits of advice from those who have been able to get tested.
17,"Restrictions Are Slowing Coronavirus Infections, New Data Suggest",A database of daily fever readings shows that the numbers declined as people disappeared indoors.
